Product_Name,User_Name,Review_Content
오호라 P 체리 크러쉬 페디,lo** ,여름맞이 세일 하길래 엄마랑 하려고 여러개 구매했어요! 작년에 해보니 파스텔톤 보다는 쨍한 컬러가 붙였을때 훨씬 예뿌더라규요! 여름나기 잘 해보겠습니당~
오호라 P 체리 크러쉬 페디,ok** ,여름에 샌들 신으려고 샀는데 빨간색이라 쨍하고 예뻐서 마음에 들어요! 특히 체크랑 앵두로 포인트 줄 수 있어서 더 좋아요!
오호라 P 체리 크러쉬 페디,na** ,빨간거중에 젤 이쁜거같아서 주문햇습니다 귀엽고 섹시하고 다하네여ㅎㅎ 이쁩니당 택배오자마자 발톱에 붙혓숨니다ㅋㅋㅋ ㅎ
오호라 P 체리 크러쉬 페디,ol** ,항상애용하는 상품이예요 사용하기도 편하고 지속력도오래가고 색상도 쨍하니 이뻐요 다음에도 구매의사있어요 여름에 진짜 좋아요 
오호라 P 체리 크러쉬 페디,ji** ,오호라가 제일 예쁘고 그나마 오래 지속되는거같아서 자주 구매하고있어요~~ 색감도 너무 예쁘고 편한게 진짜 장점!!
오호라 P 체리 크러쉬 페디,ch** ,아직 안써봤지만 오호라는 믿고쓰니까여 믿고 샀어요 발거락 못생겼는데 오호라는 딱 잘 맞아서 이번 여름에 또 샀습니다!!
오호라 P 체리 크러쉬 페디,le** ,오호라는 항상 옳지용ㅋㅋㅋ귀엽고 이뻐요 추천!!
[BNX] 언발 루즈핏 베스트_BA1VT700S0,gu** ,"박스 핏인듯해서 넉넉합니다
가을 분위기 색상 좋을듯 합니다
분위기 내며 잘 코디해서 가을에
잘 입을께요"
[BNX] 언발 루즈핏 베스트_BA1VT700S0,31** ,디자인은 정말 굿굿굿 입니다  근데 보풀이 마니 나는 천이네요
[BNX] 언발 루즈핏 베스트_BA1VT700S0,ke** ,마음에 드네요 요즘날씨에 괜찮아요 잘입을께요
프치 플라워 브이넥 맥시 롱원피스,rj** ,"예뻐요...예픈데...
생각보다 여리여리하고 예쁜데요... 좀 한복같아요
목에 카라쪽때문인지 검정색이라그런지 ㅋㅋㅋ한복 삘... 그거말고는 주머니도있고 길이도길고 예쁜데...근데 ....ㅎ"
✨오늘출발✨ 린넨 루즈핏 롱 셔츠 원피스 빅사이즈 남방 봄 여름 간절기 코디,yo** ,예전에 입던 남방이 너무 자주입어서 색이 바래가지구 하나사려고했었눈데 옷구경하다가 비슷한 상품으로 바로 겟했어요 ㅋㅋ상품색상은 화면과 같고요 날씬해보여서 더더욱 만족합니당^^ 흰색도 고려중이예요 ㅋㅋ 많이파세용
론 비건 레더 벨트,tw** ,딱 원하던 컬러라 만족해요 청바지나 흰바지 다 잘 어울리네요^_^ 배송도 빨랐어요 두컬러 다샀는데 잘 찰게요~~~~
포테 컬러 레오파드 니트 가디건,tp** ,가격 대비 높은 퀄리티예요. 배송도 빠르고 물건 상태도 최상입니다.
포테 컬러 레오파드 니트 가디건,nl** ,아직 좀 쌀쌀해서 요즘 잘 입고 있어요
포테 컬러 레오파드 니트 가디건,ye** ,블루 니트바지랑 찰떡입니다  다들이뿌다고했어요
포테 컬러 레오파드 니트 가디건,at** ,사진그대로 에요 생각보다 더예뻐서 깜놀 ~ 잘입을게요
(3color)플렌 유니폼 오버핏 긴팔티,97** ,귀엽고 좋아요 휘뚤마뚤템 잘입어지네용 굿굿ㅋ
마리아꾸르끼 키엘로 앞접시 소 (2color),vi** ,사이즈가 앞접시용으로는 조금 작은거 빼곤 다 만족합니다~ 작은 앞접시로 그냥 쓰려구요
헬스 집업 필라테스 요가 러닝 집업 핑거홀 집업,na** ,"해외여행 호핑투어때 입으려고 샀는데
화이트 컬러라 밝아보이고 좋아요 !!
바스트 있는 편인데 신축성 좋아서 잘 맞았어요
운동할때도 입을려구요 🤍 넘 맘에 들어요 굿 !! 🫶🏻"
헬스 집업 필라테스 요가 러닝 집업 핑거홀 집업,gk** ,"생각보다 타이트하긴한데 예쁜 화이트라 그냥
입으려구요!! 재질도 좋고 편하고 좋아요!
필라테스할때 잘 입을 수 있을거 같아요!"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],rk** ,"연청바지가 필요해서 구매했는데 기대 이상으로 편하고 아주 만족합니다:) 아쉬운점은 셔츠나 기장감이 있는 티셔츠는 원하는 핏이 안나올수도 있고, 개인마다 레이어드해서 입는 차이가 있을것 같아요. 사이즈가 애매해서 찾아입기에 호불호가 없어요ㅎㅎ "
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],sa** ,"제가 허벅지에 살이 많아서 가끔 와이드여도 좀 불편했는데 이 바지는 편하고 좋아요!! 허리도 밴딩이라서 편하고 길이는 조금 길지만 줄여입어도 될 정도에요~ 이 바지 추천!
완전 연청바지에요!"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],dh** ,와이드핏 처음인데 성공해서 너무 좋아요 길이는 길어서 접어서 입거나 수선 맡기려고요 허리 뒷밴딩 있어서 너무 편해요 막 늘어지지도 않고요 
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],20** ,"화면보다 살짝 밝고 한사이즈 작게 하시면
좋을것 같아요.! 저는 바빠서 그냥 입지만 
사이즈가 크게 나왔어요 빠른배송감사해요"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],rl** ,"동생이 입으려고 시켜달라고 해서 시켜줬는데 떡대도 있고 키가 저보다 큰 편이라 사이즈를 한참을 고민했어요
다행히 핏도 예쁘고 잘 맞아서 잘 입고 다니는 중입니다!
근데 생각보다 색깔이 밝아서 좀 놀랬어요.. 연청보다는 아이스청 느낌이 납니다!"
오호라 P 썬 데이지 페디,am** ,"늘 공홈에서 사다가 직잭에 입점된거 알고 샌들 신자마자  냉큼 샀어요
디자인 너무 귀여워요!!!! 여름에 찰떡
전 발톱이 작아서 스티커 하나를 2번 나눠서 쓰지만 그렇게 안해도 될만큼 양이 넉넉합니다"
오호라 P 썬 데이지 페디,01** ,"화면 그대로에요~~
말모말모~귀여워요
엄지 데이지 꽃이 심플하면서 포인트가 되는 것 같아요:)
워터파크 가기 전 급하게 주문했는데 배송도 빨랐어요!
"
오호라 P 썬 데이지 페디,sk** ,배송도 빨리 오고 너무너무 귀여워요ㅠㅠ 엄지는 잘 맞는데 나머지 발가락 사이즈는 너무 커서 잘라서 사용했어요 하지만 너무 귀여워서 재구매 의사 있습니다
오호라 P 썬 데이지 페디,lo** ,여름맞이 세일 하길래 엄마랑 하려고 여러개 구매했어요! 작년에 해보니 파스텔톤 보다는 쨍한 컬러가 붙였을때 훨씬 예뿌더라규요! 여름나기 잘 해보겠습니당~
오호라 P 썬 데이지 페디,ju** ,"여름마다 샌들신을때 허전한 발을위해 페디를 하고있어요~\
오호라는 사용하기도 쉽고 예쁜데 오래가서 매해 여름 사용하고 있어요~
화사한 노란색에 꽃 포인트까지 너무 예뻐 마음에 듭니다~ 
배송도 빨라 좋았습니다~~~"
마띠엘 긴팔 코튼 라운드 티셔츠 레터링 데일리 심플 기본티 간절기 사계절템,wj** ,간편하게입을려고 주문했는데 팔부분이 조금 짧더라구요...그래서 사실 손이 잘안가요ㅠ그래도 검은색은 청바지에 매치해입으니깐 이뻐요
마리아꾸르끼 키엘로 원형접시 중 (2color),vi** ,코발트블루랑 두컬러 다 소장했습니다. 사이즈도 디자인도 무난하고 실용적이라 자주 씁니다~
로메인 가오리 코튼 벨트 롱원피스,o_** ,"허리 스트랩은 진짜 마른체형이신분들만 가능 할거같고요 ,, 길이도 애매하게 무릎밑까지.. 제 키는 163인데 모델분은 165 인데 어떻게 저렇게 길게 나왔는지 모르겠네요ㅠㅠ
급해서 일단 입습니다"
